"","Airradians_TranscriptID","blastxEval_CvirgTranscriptID","blastxEval_CvirgProteinID","blastxEval_CvirgGeneID","blastxEval_CvirgGOterms","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ai21","Ai22","Ai23","Ai24","Ai25","Ai26","Ai27","Ai28","Ai29","Ai30","Ai31","Ai32","Ai33","Ai34","Ai35","Ai36","Ai38","Ai39","Ai40"
"792","evm.model.Contig177.16","XM_022482017.1","proteasome subunit alpha type-7-like","LOC111133546","GO:0005622;GO:0008233;GO:0009056;GO:0032991",164.613538819849,0.500690529115894,0.18211148483753,2.74936272999247,0.00597112674033656,0.29419902831442,93.1682050625915,161.915587301537,178.79980103833,128.553922010667,151.690325664511,121.988641349035,144.933817848346,175.8273992523,130.954666514594,89.0266575120718,204.761062194276,123.22154784407,334.081585724021,161.275555862299,177.737025427428,221.618584157988,175.670758666809,167.988550190178,184.443543956076
"1017","evm.model.Contig244.64","XM_022448294.1","protein FMC1 homolog","LOC111111357","",224.674789375342,0.261501773340848,0.0959252934993162,2.72609823542225,0.00640879212477702,0.30745336956496,178.284836848169,183.374279594511,225.287749308296,206.496063702174,172.856417617698,265.232879296765,178.455925377895,213.769101196217,199.930788571899,229.196288488525,242.300590263226,259.035078679505,306.776840736962,216.926980068303,265.494681732221,225.207549083623,248.866908111313,236.143904838765,215.184134615422
"322","evm.model.Contig121.59","XM_022489849.1","cilia- and flagella-associated protein 20-like","LOC111138059","",74.892973509078,1.15834892939039,0.434693997390502,2.66474562875043,0.00770465769063686,0.351139774250775,65.5628109699718,42.9173845859495,61.983931026621,49.5995447127771,31.7491379297813,54.5252260575232,50.283161294324,40.7179240373748,21.9923867429089,53.9842497679585,269.602065222463,60.261632887246,89.1419615753999,72.6875744731487,26.6605538141143,298.781330059149,48.1003267778167,52.7964014883417,31.618893249613
"932","evm.model.Contig225.125","XM_022490052.1","charged multivesicular body protein 4b-like","LOC111138197","GO:0007034",10.9592207685824,6.94035881539998,2.60445491900643,2.6648028210247,0.00770334757338632,0.351139774250775,0,0,0,0,0,0,0,0,0,0,42.6585546238074,38.6753763306206,0,0,0,79.8544695953883,0,47.0367940532499,0
"1823","evm.model.Contig52.111","XM_022457357.1","PDZ and LIM domain protein 7-like","LOC111118063","GO:0003674",2412.9955754506,-0.294041119253646,0.111295193518536,-2.64199297344027,0.00824197657419624,0.366466421823409,2075.00545596192,2244.38413482431,2870.33280600199,2798.83145164956,2678.68652607562,3023.83965525789,2512.18617603799,2501.37610620509,2700.0652996635,3030.69472381521,1526.32308443983,2231.47927154116,1597.32758174298,2633.7888313005,2659.3902429579,1944.32174846299,2603.69160166878,2047.54044317514,2167.65079277902
"1389","evm.model.Contig362.10","XM_022450111.1","protein PLANT CADMIUM RESISTANCE 3-like","LOC111112575","",134.619410164454,1.37734808531274,0.526164223722593,2.61771519843758,0.00885206522549691,0.384221783478116,71.3139347392676,73.1546328169594,88.2079018455761,38.4649530425618,88.192049804948,85.9465427686382,54.2269386507416,151.76680777567,63.9778523430077,51.1429734643817,590.394395993495,51.2673593219854,81.9142349611783,81.7735212822923,112.196497301064,699.848160498909,70.0591716111679,65.2755509310406,38.6453139717492
"1219","evm.model.Contig323.19.1","XM_022463999.1","ankyrin-2-like","LOC111122316","GO:0003674;GO:0007165",479.935826039653,-0.383635868040598,0.147897877287939,-2.59392409867862,0.00948874320908184,0.398302654136018,684.383728546197,617.425100975137,611.495319551088,574.949824425661,483.292432931115,595.156704763473,421.98417713668,406.253833009262,481.833200458277,519.006471453355,419.760177498265,556.745533689631,270.638207665854,420.225039922891,384.356317486814,272.761334348293,531.194913111541,490.52656655532,376.791811224555
"2016","evm.model.Contig630.7","XM_022445925.1","high mobility group protein B3-like","LOC111109703","",409.653784024547,0.375531321346923,0.145024608502406,2.58943171938087,0.00961344859132461,0.398302654136018,225.444051756394,368.699349397475,455.343493310947,321.89092282986,353.944093217191,364.117611299392,424.942010153993,336.848280672828,372.870920686592,368.418827363787,534.938274982545,414.636011358514,650.495395279946,373.65956252603,312.150650906921,610.124037358023,411.989755444778,415.651669899126,467.256978022059
"1546","evm.model.Contig421.35","XM_022459267.1","actin, cytoplasmic-like","LOC111119261","",2189.30735427213,-0.971285190170525,0.377745479030865,-2.57126886776364,0.0101326626628878,0.410485422987653,868.419689163662,1150.96622298683,4337.68317318988,3273.56995104329,1280.54856316785,4619.85771290777,1424.68957000585,6741.59265027898,3833.67287086616,978.346140531598,962.376992313096,1010.95634873529,967.712285570783,1257.26788971524,1865.12791057908,3177.13120041876,1054.02455200085,1444.70153163553,1348.19447605989
"302","evm.model.Contig119.55","XM_022448017.1","uncharacterized","LOC111111183","",264.341210286352,-0.32861118637813,0.128414323575512,-2.55899168588383,0.0104976251995015,0.416025450841115,264.551693387606,254.578122203019,269.391700231084,366.429289510721,212.836813529275,327.151356345139,301.698967765944,384.969463626089,329.885801143634,212.148630667065,218.411799673894,278.822480523079,177.480842415886,268.035430869736,215.506143330757,215.337895538126,267.688775111328,237.10383941128,220.453950157024
"445","evm.model.Contig130.12","XM_022480626.1","dynein light chain 2, cytoplasmic","LOC111132799","GO:0005856;GO:0008150;GO:0032991",137.366668320341,0.530652647170335,0.213799887096367,2.48200620859613,0.0130644999031943,0.463533248694468,71.3139347392676,100.465695735291,116.815870011709,142.725220500032,123.468869726927,96.1122628810578,170.56837066506,112.899698467266,95.9667785145116,105.12722323234,147.598598998374,122.322120487544,236.105736064573,105.624131656294,153.298184431157,294.295123902105,106.65724633342,127.671298144535,180.930333595008
"632","evm.model.Contig1430.31","XM_022462764.1","trimeric intracellular cation channel type 1B.1-like","LOC111121469","GO:0005575;GO:0022857",189.816966209627,-0.43964305429435,0.178126053429459,-2.46815693622526,0.0135810763006585,0.463533248694468,173.683937832732,228.242454388913,323.031640542583,250.022194776652,223.419859505868,236.584031707219,183.385647073417,125.855401570067,245.914869943436,177.106222922951,127.975663871422,179.885471305212,88.3388808404864,176.040219427157,175.515312609586,157.01721549655,225.862404000183,148.789858739872,159.851071428599
"814","evm.model.Contig180.3","XR_002639693.1",NA,NA,NA,3043.98363111218,-0.540041699821007,0.219151741344288,-2.46423640765236,0.0137305515246853,0.463533248694468,1959.982980576,3710.40297647618,6123.297186226,4542.91340144783,5482.01781587557,3900.86405404755,2823.74458719498,2299.63730074719,2689.06910629204,2191.57112215887,2263.46290833922,2085.77203978393,1917.75679497347,3468.56019439057,2148.39629485404,2987.81330059149,3410.94056411387,2149.29350786176,1680.19285518082
"860","evm.model.Contig218.49","XM_022463050.1","histone H2A-like","LOC111121683","GO:0003677;GO:0005634;GO:0005694;GO:0032991",8.35708376143518,6.54955394290789,2.62973341247122,2.49057714818063,0.0127535804161227,0.463533248694468,0,0,0,0,0,0,0,0,0,0,27.3014749592368,0,49.7910055646378,0,0,67.2930923556643,0,14.3990185877295,0
"1130","evm.model.Contig280.110","XM_022470078.1","histone H1-delta-like","LOC111125871","GO:0003677;GO:0005634;GO:0005694;GO:0032991;GO:0051276;GO:0065003",87.0889607208564,1.08032578911635,0.430982846667428,2.5066561174533,0.012187922205636,0.463533248694468,0,73.1546328169594,84.6319058248095,66.8075500212916,85.8402618101494,44.3595059451036,89.7209348584997,58.3006639626048,19.9930788571899,47.3546050596127,180.872271604943,81.8478894438715,138.932967140038,103.352644954008,101.08793321185,195.598588447131,99.3376313889694,92.1537189614691,91.3434693877709
"2075","evm.model.Contig678.11","XM_022439825.1","mitochondrial import inner membrane translocase subunit Tim13-like","LOC111105498","GO:0005739;GO:0006810",72.3115544770136,0.462797166092387,0.185371074179551,2.49659860979238,0.0125390800217872,0.463533248694468,51.760113923662,71.2038426085071,72.7119190889208,61.7463719893756,35.2768199219792,59.1460079268048,70.0020480764119,55.5244418691474,83.9709312001976,52.090065565574,60.5751475658065,62.0604876002982,134.91756346547,96.5381848471507,63.3188153085214,87.0323994466591,74.2418087222824,82.5543732363161,99.2481927001741
"2274","evm.model.Contig79.22","XM_022475973.1","mRNA decay activator protein ZFP36L1-like","LOC111129521","GO:0043167",161.448260669803,-0.578985939747871,0.233682304397247,-2.47766274490184,0.0132246082212894,0.463533248694468,256.500120110592,175.571118760702,158.535823587319,168.031110659612,265.752043412243,236.584031707219,144.933817848346,124.004586841096,151.947399314643,232.984656893294,183.431784882372,125.020402557122,102.79433406893,67.008857717434,198.843297196935,187.523417364451,63.7852159444961,117.112017846867,107.152916012577
"2290","evm.model.Contig791.26",NA,NA,NA,NA,7.97986671973635,6.48299081173346,2.61798612008855,2.47632741899876,0.0132741782987207,0.463533248694468,0,0,0,0,0,0,0,0,0,0,22.1824484043799,0,46.5786826249838,0,0,55.6289563473491,0,0,27.2273802982779
"138","evm.model.Contig1065.15","XM_022483281.1","dolichol-phosphate mannosyltransferase subunit 1-like","LOC111134340","GO:0003674",25.4403417144426,0.685057682103554,0.282854443505405,2.42194421135358,0.0154377203411402,0.468196633737971,18.4035960617465,30.2372482310099,20.2639774510107,12.1468272765985,17.6384099609896,18.4831274771265,26.6204971558186,21.2843693831732,15.9944630857519,16.1005657202683,34.1268436990459,15.290265060943,42.5632789504162,37.4795305877173,42.2125435390142,41.2730966448074,43.9176896667022,14.3990185877295,14.9311440345395
"205","evm.model.Contig11132.1","XM_022478637.1","ubiquitin-40S ribosomal protein S27a","LOC111131216","GO:0003735;GO:0005840;GO:0006412;GO:0042254",782.294047189572,-0.336753129578677,0.139350313173227,-2.41659399186321,0.0156664808875569,0.468196633737971,714.289572146535,995.878401414874,903.53499458036,970.733946521495,1073.59121962557,982.378225409273,707.908035476954,584.857454355019,956.668823316537,787.980628191955,697.040782553013,643.989987272659,579.021209872643,767.762505372634,670.957270988542,591.281971498437,1064.48114477864,501.085846852988,670.144876373742
"354","evm.model.Contig124.107",NA,NA,NA,NA,9.46293870455419,-6.68836953873279,2.76054872119135,-2.42284060679296,0.0153996818727861,0.468196633737971,11.5022475385915,50.7205454197585,85.8239044983983,0,31.7491379297813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"762","evm.model.Contig1703.1","XM_022448060.1","adenomatous polyposis coli protein-like","LOC111111223","GO:0003674;GO:0005886;GO:0007165;GO:0007267;GO:0032991",766.855362202452,-0.330377704296117,0.134948240419681,-2.44818089712517,0.0143579548756035,0.468196633737971,763.749236562479,1015.3863034994,882.079018455761,800.678364649116,890.151756031275,755.959913814474,1239.33203425422,583.006639626048,846.706889601993,716.001628501344,513.608997670641,715.944175794744,705.907965988978,629.201816533194,462.116266111314,755.477116846258,696.409079000564,785.226480317518,813.308198587267
"764","evm.model.Contig172.1","XM_022488669.1","flap endonuclease 1-like","LOC111137273","GO:0003677;GO:0004518;GO:0006259;GO:0006950",73.0489706961395,0.711429426581867,0.29429363716453,2.41741355143241,0.0156312465096169,0.468196633737971,72.4641594931268,72.1792377127332,29.7999668397216,33.4037750106458,35.2768199219792,59.1460079268048,75.9177141110383,70.33095970092,36.9871958858013,75.7673680953803,121.150295131613,80.9484620873454,146.160693754259,43.1582473434321,28.8822666319571,125.61377239724,97.2463128334121,92.1537189614691,91.3434693877709
"1131","evm.model.Contig280.111","XM_022470078.1","histone H1-delta-like","LOC111125871","GO:0003677;GO:0005634;GO:0005694;GO:0032991;GO:0051276;GO:0065003",65.6524854234094,0.978222273843263,0.404438266409847,2.4187183931106,0.0155752928153218,0.468196633737971,0,68.2776572958287,69.1359230681542,45.5506022872443,75.2572158335556,34.193785832684,51.2691056334284,51.8228124112042,29.9896182857849,24.6243946309986,132.241519333803,81.8478894438715,101.991253334016,70.4160877708628,67.7622409442071,130.099978554284,87.8353793334045,66.2354855035559,58.8462735478908
"2020","evm.model.Contig631.45.1","XM_022473240.1","nuclear receptor subfamily 2 group F member 1-A-like","LOC111127914","GO:0003677;GO:0003700;GO:0005634;GO:0007165;GO:0009058;GO:0032991;GO:0034641;GO:0043167",549.685745359495,-0.243031945826071,0.0999039100843758,-2.43265699631589,0.014988492099641,0.468196633737971,541.755859067662,528.66414649056,544.743393830112,508.142274404369,793.728448244532,554.493824313795,579.735271393383,765.311890429748,540.812783086987,575.83199752489,592.100738178447,509.975311150276,444.103646407173,422.496526625177,554.317348051792,554.495081010674,509.23606827819,445.409641647101,478.67491169553
"1282","evm.model.Contig343.27","XM_022485359.1","5-hydroxytryptamine receptor 4-like","LOC111135363","GO:0003674;GO:0005886;GO:0007165;GO:0007267",134.401304357802,-0.381985523595963,0.159727968775705,-2.39147549752141,0.0167808040149111,0.49340976966424,121.92382390907,139.481499904336,126.35185940042,151.835340957481,172.856417617698,103.505513871908,163.666760291329,230.426433756962,161.943938743238,137.328354672877,92.9956490799002,73.7530432351369,94.7635267197945,128.338998679153,125.526774208121,147.147561951053,127.570431888992,118.071952419382,136.136901491389
