"","Airradians_TranscriptID","blastxEval_CvirgTranscriptID","blastxEval_CvirgProteinID","blastxEval_CvirgGeneID","blastxEval_CvirgGOterms","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ai1","Ai2","Ai3","Ai4","Ai5","Ai6","Ai7","Ai8","Ai9","Ai10","Ai11","Ai12","Ai13","Ai14","Ai15","Ai16","Ai17","Ai18","Ai19","Ai20"
"2264","evm.model.Contig79.108","XM_022477731.1","26S proteasome non-ATPase regulatory subunit 8-like","LOC111130572","GO:0005622;GO:0008150;GO:0032991",140.222711406975,0.880193206559593,0.208681711475359,4.21787419863828,2.46616337647596e-05,0.00211884536762227,90.8286185942541,118.269665891516,97.6594148210948,143.692763040195,118.34249786459,100.965419291271,119.615196371489,72.4260713224134,67.2835313200227,58.9860983973399,171.575145000004,205.340288481748,268.031429780953,200.535854410132,127.17788448272,164.950967452323,229.511558687586,220.333334215932,79.347968693713,149.5805200202
"413","evm.model.Contig126.94",NA,NA,NA,NA,860.315533565298,-1.40501463830272,0.33781284708463,-4.15915099271146,3.19432695195729e-05,0.00258262028436094,1000.27927400595,1562.75423694857,1102.86086636347,721.192158803006,1051.66219751832,1345.55837632406,844.988084459142,2125.15951743301,1934.8328301386,801.461908382904,284.596867500007,288.281659907709,184.462695020352,464.444511296193,417.599023674602,145.706687916219,342.873543140564,472.14285903414,1380.82715085472,734.626222584414
"785","evm.model.Contig177.113","XM_022489768.1","translocon-associated protein subunit alpha-like","LOC111138014","GO:0005737;GO:0005783",209.591322485673,0.722435012311593,0.173881770094707,4.15474843577972,3.25645622664328e-05,0.00258262028436094,107.131191162454,130.229519745714,145.009434128292,151.877793846282,189.103991433108,188.339339831795,210.698327553448,205.372558407391,137.154890767739,117.035909518532,243.745642500006,238.35578584548,302.681880779251,254.359330485579,210.69768921764,304.242895523173,263.89183266103,433.010297744824,186.295230846109,172.592907715615
"6","evm.model.Contig0.128",NA,NA,NA,NA,231.841384291676,-0.432217888020491,0.104378196472123,-4.14088289153304,3.45971572006518e-05,0.0026421977091757,257.34775268372,350.822379723147,263.384482396286,227.361966835752,247.665227489813,286.392295105048,193.140133590661,306.570630666106,298.462844060614,232.199244484767,200.171002500005,163.466974752137,216.055753283506,198.799613246408,182.225028512554,190.610006833795,210.927626810049,206.722008550083,168.183194513848,236.319519795227
"1811","evm.model.Contig517.82","XM_022484802.1","proliferation-associated protein 2G4-like","LOC111135058","",710.223768123079,0.683204259608251,0.16666959619296,4.09915350618166,4.14663952311296e-05,0.00305370382023533,407.564314204986,600.650438010843,474.486651807541,692.08982704803,490.4503519749,616.471550480358,695.74343577545,554.605121496289,407.151625423727,512.149140053094,887.833290000023,1071.7957802714,1021.16917353808,979.240016340384,536.235109945796,1221.55355341081,874.373994838132,966.404122275285,452.800908306514,741.706957259927
"1880","evm.model.Contig548.51","XM_022485028.1","adenosylhomocysteinase A-like","LOC111135192","GO:0003674;GO:0006520;GO:0006790;GO:0034655;GO:0051186",1049.1018213966,0.532046835912747,0.131016101414889,4.06092709344108,4.88782344929272e-05,0.00347541101808331,660.254189012078,984.694633995653,707.290913401262,788.491300986388,778.376429253697,931.017664426242,973.382377812025,998.090791100656,737.531016392557,1018.6805564493,1386.21823500004,1359.27218414585,1555.19377127656,1270.92853184603,819.063539616322,1212.38961077457,1401.22846356632,1497.2458232434,1090.17209161797,812.514304015051
"1301","evm.model.Contig347.63",NA,NA,NA,NA,566.509097906366,-0.90131053487897,0.222764629024545,-4.04602175320957,5.20953941178255e-05,0.00358069008903187,951.371556301353,506.300479827724,734.911757997127,756.660625629383,596.592592327677,691.224793609473,693.548661530101,680.606642838022,1412.95415772048,352.980303107891,654.981307500017,313.244596938824,365.86799730556,618.101854285774,301.810203473917,377.554436613095,269.467012224291,316.463321730991,302.729750124927,432.809907040697
"2139","evm.model.Contig731.22.1",NA,NA,NA,NA,1213.34654971223,-1.00446325797282,0.249020029806501,-4.0336645158758,5.49137030471659e-05,0.00365264695752439,2064.60436881554,1666.40630368495,1756.88300804414,860.337682506486,1019.9415279876,1402.83683534507,2268.29918256759,2327.55566195044,873.823297784398,1954.96783259755,552.853245000014,499.25874062229,560.522001443058,1718.01063150498,597.925874806817,792.681038034774,923.621414313606,561.467183716275,740.868533781516,1124.0666297376
"517","evm.model.Contig134.58",NA,NA,NA,NA,133.318087738622,1.18458855992824,0.29628765024345,3.99810305611761,6.38521513940856e-05,0.00406714141519436,52.4011261120696,82.390104328921,51.2958542494639,84.5786516628998,106.142240352777,176.689483759725,55.9667432563848,50.5990361293573,65.5583125682273,88.947291234084,243.745642500006,352.70214256865,156.946160404056,143.239896007237,159.446899948485,126.462408380114,99.4240355448248,345.387388770921,115.572041358234,108.866295636004
"562","evm.model.Contig1401.1","XM_022480993.1","serine/arginine repetitive matrix protein 2-like","LOC111132990","GO:0003677",611.185869581398,-0.433305388782797,0.109420764566099,-3.95999233327462,7.49521696301579e-05,0.00406714141519436,664.912066888706,799.981335580814,669.805481449731,829.416455016824,778.376429253697,632.975513249124,614.536788697558,680.606642838022,648.682250675091,705.960606215782,449.363475000012,558.042431050398,461.666303006737,451.422702568262,624.500358131565,382.136407931215,506.412143662892,485.754184699989,768.467827240199,510.697988471334
"776","evm.model.Contig176.104","XM_022483989.1","carbonic anhydrase 14-like","LOC111134699","GO:0016829;GO:0043167;GO:0044281",1564.52482107132,-1.10820386484595,0.279355265149327,-3.9670054697325,7.278132281997e-05,0.00406714141519436,2947.27222643663,1347.476867573,1825.9351195338,1282.32149295364,1516.49200871841,1588.26371115884,3838.66015511439,3015.1072705317,1045.48256358805,2968.96695266611,544.683000000014,669.167763640521,840.783002164587,2119.08234032525,832.350781278696,895.317195560664,1451.40507963567,541.050195217501,877.140045233762,1143.53865009526
"1920","evm.model.Contig57.47","XM_022478364.1","eukaryotic translation initiation factor 3 subunit K-like","LOC111131036","GO:0005840;GO:0008135",199.466126093671,0.707986680691223,0.178042830085418,3.97649644387004,6.99380442734346e-05,0.00406714141519436,101.308843816668,159.464718055976,175.589654930857,109.133744081161,157.383321902393,193.19344652849,186.555810854616,171.639867654487,112.139218866705,148.869676907572,228.766860000006,266.539747009642,316.949713543257,275.194224450268,191.715915414249,345.480637386254,167.255386897836,292.643501815755,132.821599769911,256.676631987325
"2091","evm.model.Contig687.23","XM_022476789.1","60S ribosomal protein L4-like","LOC111130094","GO:0003735;GO:0005840;GO:0006412;GO:0042254",3264.88192166353,-0.503557812070035,0.126782300326838,-3.97183053763726,7.13224510088709e-05,0.00406714141519436,2728.35196623509,3621.17797252112,2558.8739600598,3916.99196464634,4536.05574289224,3671.64630538065,4734.12804721655,3691.74536151644,5297.28417738794,3531.67560563121,3406.99216500009,3042.25729366292,2183.9975438045,2508.8684815813,2450.54699801778,2715.27620311796,2277.4608515922,2587.00258436544,3269.65379693333,2567.65141170769
"2262","evm.model.Contig79.100","XM_022479527.1","KICSTOR complex protein kaptin-like","LOC111131811","GO:0005856;GO:0007010;GO:0008092",70.6096922299536,-0.86966007858732,0.219161090833692,-3.96813173031362,7.24382912061787e-05,0.00406714141519436,101.308843816668,110.296429988717,76.9437813741959,65.4802464486966,85.4018025826941,66.015851075062,70.2327758511495,105.166624111998,137.154890767739,95.5013021671218,42.2129325000011,78.1098352263905,35.6695819100128,51.2191143298605,60.7416761708513,25.6590393814725,55.751795632612,25.521235623467,71.5856674084585,52.2204182319041
"2482","evm.model.Contig921.28","XM_022450958.1","cathepsin L1-like","LOC111113028","GO:0008233",1323.37762095436,2.01013289343712,0.507286326292669,3.96252134002408,7.41623758338165e-05,0.00406714141519436,253.854344276248,620.58352776784,33.5395970092649,156.425033182997,824.737407798588,665.012617447316,757.197114645205,740.134920637266,242.393234627261,969.99361808959,5110.48824750013,2232.97498023486,4226.33589088066,2119.08234032525,1593.51991079468,1458.89966768943,1151.27457981344,2390.48907006475,805.554377825304,115.061938477077
"1528","evm.model.Contig42.54","XM_022448040.1","citrate synthase, mitochondrial-like","LOC111111213","GO:0006091;GO:0016746;GO:0044281",348.624226654448,0.561569656706492,0.142795097035558,3.93269564827323,8.39985628904213e-05,0.00444115478666791,300.433123042533,247.170312986763,358.084521010681,255.554850723385,362.347648100859,239.792870816769,301.781458735408,323.436976042558,195.812328328784,232.199244484767,468.427380000012,411.485832996758,506.508063122182,485.279405260882,406.209959392568,502.184056465961,379.112210301762,442.368084140095,261.330809936903,292.965397199327
"560","evm.model.Contig140.86","XM_022439719.1","eukaryotic translation initiation factor 1A-like","LOC111105429","GO:0005840;GO:0008135",460.887800180813,0.535891813296896,0.13842380094975,3.87138490360798,0.000108218753070629,0.00557867672079095,248.031996930463,273.747765996092,417.272045144678,461.090068742905,320.866772560693,441.723709399312,427.980977842942,291.688561216295,488.236906758114,388.559219601525,605.959837500016,650.6468748755,656.320307144235,527.817313772122,376.788209997312,517.762758947569,620.703324709747,555.512228737466,472.637900479943,474.409223259333
"572","evm.model.Contig141.23","XM_022468174.1","78 kDa glucose-regulated protein","LOC111124903","",473.232645860379,1.10331250942895,0.285779912424095,3.86070700375763,0.000113059411222222,0.00568606112049323,186.315115065137,310.956200209153,343.287639977182,365.598042671889,296.466257537067,429.103031987903,486.142495344675,317.484148262634,138.017500143636,132.952793213052,675.406920000017,749.693366966697,953.906533364914,428.851567439849,529.591489114609,918.227052151264,313.139252136504,1173.12613082537,324.291698139523,392.095682656501
"2378","evm.model.Contig82.222","XM_022487519.1","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B-like","LOC111136571","GO:0005737;GO:0005783;GO:0006464;GO:0009058;GO:0016757;GO:0032991",163.803021326409,0.988076396427729,0.257994540551126,3.82983451633126,0.000128229461837369,0.0062954559597299,88.4996796559398,99.6654487849851,123.307341945827,140.964419438166,134.202832629948,102.90706196995,155.828971419738,140.883590791544,69.0087500718182,43.0692147028196,243.745642500006,224.66643328003,257.840120663807,205.744577901304,187.919560653571,279.500250405325,99.4240355448248,407.489062121357,113.847085517066,157.546346530152
"2357","evm.model.Contig811.48","XM_022464259.1","40S ribosomal protein S21-like","LOC111122453","GO:0003735;GO:0005840;GO:0006412;GO:0042254",1694.22991886213,-0.472462262547378,0.124764301255366,-3.78683852507094,0.000152576180916298,0.00731656011742806,1837.53282232991,2321.54052036492,1562.55063713752,1769.78554984949,2519.35317618948,1858.15204349513,1351.98093513463,1942.60613218199,2389.4279712367,2141.28900055105,1191.49406250003,1397.92447374241,1192.38316670614,1538.30967105954,1299.30241684212,1180.31581154773,1484.85615701523,1264.15187121573,1572.29724922433,2069.34470891851
"2083","evm.model.Contig680.8","XM_022476057.1","tankyrase-like protein","LOC111129603","GO:0006464;GO:0016757",243.909378119338,0.624428787300174,0.166076276697287,3.7598915372985,0.000169987040149432,0.00796621083609385,130.420580545596,174.082317211107,245.628225156087,159.153376785026,196.424145940196,159.21469965162,280.931103404598,190.49048895758,197.53754708058,185.384880677354,265.532962500007,384.91238389912,425.996721096724,206.612698483166,308.453824305104,323.487175059278,218.361199561064,358.148006582654,199.232399654866,268.182825835033
"2402","evm.model.Contig826.19","XM_022467108.1","uncharacterized","LOC111124252","GO:0003735;GO:0005840;GO:0006412;GO:0042254",3608.64404819906,-0.326868796354971,0.0873387192132838,-3.74254167337567,0.000182168310090213,0.00834735678680043,3873.02545441653,5032.44072731651,3418.07951873832,3953.36987934006,3474.63333936447,4180.35668719437,3612.5984078435,4762.26222393951,4246.62595754451,3604.70601317077,3385.20484500009,2934.35298520585,2623.24296675351,3000.22473091522,3241.13787692902,2807.83202374399,2983.65026293862,3654.64094128048,3807.84001937764,3576.65610296821
"1471","evm.model.Contig412.53",NA,NA,NA,NA,215.549735010859,-1.3383312612615,0.358488632600458,-3.73325996853323,0.000189017322425124,0.00847290693131752,179.328298250194,651.147598728569,116.40213079686,391.972030824837,364.787699603222,312.604471267205,98.764841040679,59.5282777992439,461.496016105284,453.163041655754,160.681485000004,210.977080714581,115.161793023756,140.635534261651,135.719682694246,105.385340316762,91.061266199933,57.8481340798586,106.084784231812,98.2451936227349
"2087","evm.model.Contig685.31","XM_022472493.1","60S ribosomal protein L9-like","LOC111127354","GO:0003735;GO:0005840;GO:0006412;GO:0019843;GO:0042254",2744.58832703153,-0.392292195820855,0.105394076714739,-3.72214651951113,0.000197536335944131,0.00866638137695316,2858.77254678069,4030.4707488648,2639.76357637626,3015.72912810942,2573.03430924145,3130.89881936875,2442.78373507279,3603.4450827809,3264.113878397,3597.21571496159,1988.09295000005,2245.85907676704,2506.04291190633,1803.95456910932,2501.79778728694,2487.09403147558,2012.63982233729,2638.04505561238,2808.22810942097,2743.78468676107
"977","evm.model.Contig228.83","XM_022450308.1","cytochrome c-like","LOC111112645","GO:0016491",629.9779493291,0.4564432196382,0.122900562239842,3.71392295787422,0.000204070943587494,0.00876654761827943,526.340200059011,451.816701158599,574.118984099769,508.381357844742,500.210557984351,532.980915297192,741.833694927766,497.061119623686,384.723781650386,593.606133077992,762.55620000002,678.830836039662,840.783002164587,723.144444691082,599.824052187156,1006.20090145917,650.437615713807,840.499359866181,533.011354920811,653.197773816021
"2056","evm.model.Contig650.18",NA,NA,NA,NA,331.595839726242,-0.963226374084574,0.259974978856476,-3.70507338175933,0.000211329542259617,0.00889309216610877,561.274284133724,435.870229353001,341.314722506048,316.487857835367,159.823373404756,546.57241404794,565.154368177219,600.243467809042,276.89760966317,580.498111211917,182.468805000005,221.445409146983,168.156600432917,449.686461404538,137.617860074585,164.950967452323,245.307900783493,123.352638846757,242.356295684058,312.437417556986
"1881","evm.model.Contig548.52","XM_022486220.1","V-type proton ATPase subunit d 1-like","LOC111135828","GO:0022857;GO:0032991",178.168054804448,0.732987575353144,0.199217774404553,3.67932820022707,0.000233849161713475,0.00927301868179203,100.144374347511,203.31751552137,160.792773897358,95.4920260710159,141.522987137036,169.893734384351,140.465551702299,123.025107451771,119.040093873886,86.1384294056392,232.851982500006,192.45619194956,215.036622371791,181.437201609167,282.828429670526,204.355920788156,134.733506112146,403.235522850779,219.931869748878,156.661254695712
"1906","evm.model.Contig555.8",NA,NA,NA,NA,1335.09410019851,-0.940485550499563,0.255455857842524,-3.68159711991935,0.000231777465428504,0.00927301868179203,2040.15050996324,3045.77611486914,1324.81408186596,944.916334169386,915.019313386008,1158.1898578316,2472.413187385,2629.16560279994,907.465063444409,2117.88181864735,876.939630000023,1171.64752839586,988.556984363212,1546.1227562963,551.420528988509,792.681038034774,682.03029990562,560.616475862159,1025.48624757418,950.588630187543
