"Airradians_TranscriptID","blastxEval_CvirgTranscriptID","blastxEval_CvirgProteinID","blastxEval_CvirgGeneID","meanLength","blastxEval_CvirgGOterms"
"evm.model.Contig0.278","XM_022481289.1","LOC111133166","uncharacterized family 31 glucosidase KIAA1161-like",667,"GO:0005975;GO:0016798"
"evm.model.Contig0.28","XM_022454916.1","LOC111115978","complement C1q tumor necrosis factor-related protein 2-like",182,"GO:0003674"
"evm.model.Contig0.280.3","XM_022483777.1","LOC111134606","uncharacterized",782,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.282","XM_022479667.1",NA,NA,NA,NA
"evm.model.Contig0.283","XM_022485097.1","LOC111135230","chloride channel protein 2-like",940,"GO:0005575;GO:0022857"
"evm.model.Contig0.284","XM_022481913.1","LOC111133472","tumor protein 63-like",676,"GO:0003677;GO:0003700;GO:0005634;GO:0008219;GO:0009058;GO:0032991;GO:0034641;GO:0065003"
"evm.model.Contig0.285","XM_022481914.1","LOC111133474","WD repeat-containing protein WRAP73-like",471,"GO:0003674"
"evm.model.Contig0.286","XM_022481267.1",NA,NA,NA,NA
"evm.model.Contig0.288","XM_022479533.1","LOC111131816","beta-1,3-galactosyltransferase brn-like",387,"GO:0005575;GO:0006464;GO:0009058;GO:0016757"
"evm.model.Contig0.289","XM_022480445.1","LOC111132618","endoglucanase E-4-like",571,"GO:0005975;GO:0016798"
"evm.model.Contig0.29","XM_022489174.1","LOC111137629","disrupted in renal carcinoma protein 2 homolog",517,"GO:0005575;GO:0055085"
"evm.model.Contig0.290","XM_022480445.1","LOC111132618","endoglucanase E-4-like",571,"GO:0005975;GO:0016798"
"evm.model.Contig0.291","XM_022488355.1","LOC111137097","L-rhamnose-binding lectin CSL3-like",208,"GO:0003674"
"evm.model.Contig0.292","XM_022484590.1","LOC111134967","probable cation-transporting ATPase 13A3",1288.33333333333,"GO:0005575;GO:0006810;GO:0016887"
"evm.model.Contig0.293","XM_022440954.1","LOC111106320","fibrillin-2-like",524,"GO:0043167"
"evm.model.Contig0.295.1","XM_022483835.1","LOC111134625","liprin-alpha-1-like",1171.875,"GO:0003674;GO:0005575;GO:0008150"
"evm.model.Contig0.297","XM_022482543.1","LOC111133848","sex peptide receptor-like",402,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.298","XM_022482782.1","LOC111134018","endoglucanase 14-like",614,"GO:0005975;GO:0016798"
"evm.model.Contig0.299","XM_022488305.1","LOC111137062","serine--pyruvate aminotransferase-like",423,"GO:0003674"
"evm.model.Contig0.3","XM_022473596.1",NA,NA,NA,NA
"evm.model.Contig0.30","XM_022489174.1","LOC111137629","disrupted in renal carcinoma protein 2 homolog",517,"GO:0005575;GO:0055085"
"evm.model.Contig0.300","XM_022441881.1","LOC111106977","galactoside 2-alpha-L-fucosyltransferase 2-like",406,"GO:0005575;GO:0005975;GO:0006629;GO:0009058;GO:0016757"
"evm.model.Contig0.301","XM_022467168.1","LOC111124316","uncharacterized",651,"GO:0003674;GO:0005575;GO:0007165;GO:0008283;GO:0040007"
"evm.model.Contig0.302","XM_022486342.1","LOC111135891","peroxisome biogenesis factor 2-like",292,"GO:0043167"
"evm.model.Contig0.303","XM_022486342.1","LOC111135891","peroxisome biogenesis factor 2-like",292,"GO:0043167"
"evm.model.Contig0.305","XM_022486332.1",NA,NA,NA,NA
"evm.model.Contig0.306","XM_022442786.1","LOC111107540","carbohydrate sulfotransferase 8-like",438,"GO:0003674;GO:0005575;GO:0005975;GO:0009058"
"evm.model.Contig0.308","XM_022480038.1",NA,NA,NA,NA
"evm.model.Contig0.309","XM_022482393.1",NA,NA,NA,NA
"evm.model.Contig0.31.1","XM_022489174.1","LOC111137629","disrupted in renal carcinoma protein 2 homolog",517,"GO:0005575;GO:0055085"
"evm.model.Contig0.311","XM_022438721.1",NA,NA,NA,NA
"evm.model.Contig0.312","XM_022433970.1",NA,NA,NA,NA
"evm.model.Contig0.314","XM_022438721.1",NA,NA,NA,NA
"evm.model.Contig0.315","XM_022438721.1",NA,NA,NA,NA
"evm.model.Contig0.316","XM_022489823.1","LOC111138042","mitotic checkpoint serine/threonine-protein kinase BUB1-like",1252,"GO:0006464;GO:0007059;GO:0016301;GO:0043167;GO:0051276;GO:0140014"
"evm.model.Contig0.318","XM_022479865.1","LOC111132137","phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform-like",966,"GO:0006629;GO:0007165;GO:0016301"
"evm.model.Contig0.319","XM_022487525.1","LOC111136579","39S ribosomal protein L51, mitochondrial-like",206,"GO:0003735;GO:0005840;GO:0042254"
"evm.model.Contig0.32","XM_022485913.1","LOC111135648","uncharacterized",1231,"GO:0006464;GO:0016301;GO:0043167"
"evm.model.Contig0.320.1","XM_022482914.1",NA,NA,NA,NA
"evm.model.Contig0.321.1","XM_022481447.1","LOC111133246","coatomer subunit beta'-like",934,"GO:0005198;GO:0005737;GO:0016192;GO:0032991"
"evm.model.Contig0.323","XM_022464363.1","LOC111122574","nose resistant to fluoxetine protein 6-like",731,"GO:0016746"
"evm.model.Contig0.325","XM_022468015.1","LOC111124814","nose resistant to fluoxetine protein 6-like",719,"GO:0016746"
"evm.model.Contig0.326","XM_022468015.1","LOC111124814","nose resistant to fluoxetine protein 6-like",719,"GO:0016746"
"evm.model.Contig0.328","XM_022481186.1","LOC111133092","metabotropic glutamate receptor 6-like",1027,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.33","XM_022474030.1",NA,NA,NA,NA
"evm.model.Contig0.330","XM_022480148.1","LOC111132344","uncharacterized",1046,"GO:0005575;GO:0008233;GO:0022857;GO:0043167"
"evm.model.Contig0.331_evm.model.Contig0.332","XM_022484284.1","LOC111134839","ankycorbin-like",762.5,"GO:0003674"
"evm.model.Contig0.333","XM_022484285.1","LOC111134840","CTD nuclear envelope phosphatase 1-like",247,"GO:0016791"
"evm.model.Contig0.334","XM_022489960.1","LOC111138126","DNA ligase 3-like",995,"GO:0003677;GO:0006259;GO:0006950;GO:0009058;GO:0016874;GO:0043167"
"evm.model.Contig0.335","XM_022489974.1","LOC111138137","SPRY domain-containing SOCS box protein 1-like",278,"GO:0003674;GO:0007165"
"evm.model.Contig0.336","XM_022488300.1","LOC111137059","rho guanine nucleotide exchange factor 10-like protein",1556.375,"GO:0007165;GO:0019899"
"evm.model.Contig0.337","XM_022481683.1","LOC111133354","uncharacterized",806.5,"GO:0003674"
"evm.model.Contig0.338","XM_022490112.1","LOC111138241","ubiquitin carboxyl-terminal hydrolase 5-like",798,"GO:0006464;GO:0008233;GO:0009056;GO:0043167"
"evm.model.Contig0.339","XM_022482737.1",NA,NA,NA,NA
"evm.model.Contig0.34","XM_022474030.1",NA,NA,NA,NA
"evm.model.Contig0.340","XM_022482443.1","LOC111133780","ceramide-1-phosphate transfer protein-like",207,"GO:0003674;GO:0005737;GO:0006810;GO:0061024"
"evm.model.Contig0.341","XM_022488057.1","LOC111136896","AP-2 complex subunit mu",437,"GO:0005737;GO:0016192;GO:0032991"
"evm.model.Contig0.342","XM_022487604.1","LOC111136624","60S ribosomal protein L22-like",132,"GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"evm.model.Contig0.345","XM_022483756.1",NA,NA,NA,NA
"evm.model.Contig0.346","XM_022489992.1","LOC111138152","cytidine deaminase-like",142,"GO:0016810;GO:0034655;GO:0043167;GO:0044281"
"evm.model.Contig0.347.1","XM_022486869.1","LOC111136200","NAD kinase-like",744,"GO:0009058;GO:0016301;GO:0034641;GO:0044281;GO:0051186"
"evm.model.Contig0.347.1","XM_022486869.1","LOC111136200","NAD kinase-like",744,"GO:0005975;GO:0016798"
"evm.model.Contig0.349","XM_022484280.1","LOC111134838","espin-like",728,"GO:0007010;GO:0008092;GO:0022607"
"evm.model.Contig0.35","XM_022444937.1","LOC111108853","collagen alpha-2(VIII) chain-like",196,"GO:0003674"
"evm.model.Contig0.350","XM_022485339.1","LOC111135358","alkaline phosphatase, tissue-nonspecific isozyme-like",511,"GO:0016791"
"evm.model.Contig0.351","XM_022489103.1",NA,NA,NA,NA
"evm.model.Contig0.352","XM_022482164.1",NA,NA,NA,NA
"evm.model.Contig0.353","XM_022489592.1",NA,NA,NA,NA
"evm.model.Contig0.355","XM_022488851.1","LOC111137403","apolipoprotein D-like",185,"GO:0006810;GO:0007568;GO:0008289"
"evm.model.Contig0.356","XM_022454864.1","LOC111115938","tripartite motif-containing protein 55-like",507,"GO:0043167"
"evm.model.Contig0.358","XM_022476009.1",NA,NA,NA,NA
"evm.model.Contig0.36","XM_022482645.1","LOC111133911","bactericidal permeability-increasing protein-like",482.5,"GO:0002376;GO:0005615;GO:0006950;GO:0008289"
"evm.model.Contig0.360","XM_022442363.1",NA,NA,NA,NA
"evm.model.Contig0.361","XM_022459677.1",NA,NA,NA,NA
"evm.model.Contig0.364","XM_022480129.1","LOC111132326","prostamide/prostaglandin F synthase-like",159,"GO:0008150"
"evm.model.Contig0.365","XR_002634462.1",NA,NA,NA,NA
"evm.model.Contig0.366","XM_022482881.1",NA,NA,NA,NA
"evm.model.Contig0.369","XM_022487186.1","LOC111136381","uncharacterized",252,"GO:0003674"
"evm.model.Contig0.37","XM_022482645.1","LOC111133911","bactericidal permeability-increasing protein-like",482.5,"GO:0002376;GO:0005615;GO:0006950;GO:0008289"
"evm.model.Contig0.376","XM_022465138.1",NA,NA,NA,NA
"evm.model.Contig0.38","XM_022470771.1","LOC111126260","dehydrogenase/reductase SDR family member 9-like",317,"GO:0016491"
"evm.model.Contig0.39","XM_022483337.1","LOC111134375","polyadenylate-binding protein 2-B-like",226,"GO:0003723;GO:0008150"
"evm.model.Contig0.4","XM_022479273.1","LOC111131650","sex peptide receptor-like",402,"GO:0003674;GO:0005575;GO:0007165"
"evm.model.Contig0.40","XM_022467164.1","LOC111124311","uncharacterized",1247,"GO:0003924;GO:0005694;GO:0005730;GO:0006259;GO:0009058;GO:0016779;GO:0043167"
"evm.model.Contig0.41","XM_022487481.1","LOC111136549","mRNA cap guanine-N7 methyltransferase-like",382,"GO:0005634;GO:0006397;GO:0008168"
"evm.model.Contig0.42","XM_022487592.1","LOC111136615","nuclear pore complex protein Nup93-like",834,"GO:0005198;GO:0005635;GO:0032991"
"evm.model.Contig0.43","XM_022472429.1","LOC111127314","integrator complex subunit 5-like",939,"GO:0005634;GO:0032991"
"evm.model.Contig0.44","XM_022472429.1","LOC111127314","integrator complex subunit 5-like",939,"GO:0005634;GO:0032991"
"evm.model.Contig0.45","XM_022472429.1","LOC111127314","integrator complex subunit 5-like",939,"GO:0005634;GO:0032991"
"evm.model.Contig0.46","XM_022467040.1",NA,NA,NA,NA
"evm.model.Contig0.47","XM_022452234.1",NA,NA,NA,NA
"evm.model.Contig0.48_evm.model.Contig0.51","XM_022436978.1","LOC111103596","protein piccolo-like",1763.85714285714,"GO:0005575"
"evm.model.Contig0.48_evm.model.Contig0.51","XM_022436978.1","LOC111103596","protein piccolo-like",1763.85714285714,"GO:0005575;GO:0006810;GO:0019899"
"evm.model.Contig0.52","XM_022437935.1","LOC111104141","protein arginine N-methyltransferase 3-like",535,"GO:0006464;GO:0008168"
"evm.model.Contig0.54","XM_022435847.1","LOC111102906","cold shock domain-containing protein E1-like",810,"GO:0003674"
"evm.model.Contig0.55","XM_022435848.1","LOC111102907","charged multivesicular body protein 2a-like",222,"GO:0007034"
"evm.model.Contig0.56.1","XM_022436948.1",NA,NA,NA,NA
"evm.model.Contig0.57","XM_022436631.1","LOC111103389","zinc finger protein aebp2-like",418,"GO:0003674"
"evm.model.Contig0.58_evm.model.Contig0.59","XM_022435002.1",NA,NA,NA,NA
"evm.model.Contig0.6","XM_022484313.1",NA,NA,NA,NA
"evm.model.Contig0.60","XM_022437244.1","LOC111103780","ubiquitin carboxyl-terminal hydrolase 47-like",1429,"GO:0006464;GO:0008233;GO:0009056"
"evm.model.Contig0.61","XM_022437244.1","LOC111103780","ubiquitin carboxyl-terminal hydrolase 47-like",1429,"GO:0006464;GO:0008233;GO:0009056"
"evm.model.Contig0.62","XM_022437543.1","LOC111103921","uncharacterized",851,"GO:0006464;GO:0016301;GO:0043167"
"evm.model.Contig0.63","XM_022437880.1","LOC111104114","39S ribosomal protein L19, mitochondrial-like",322,"GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"evm.model.Contig0.64","XM_022433139.1","LOC111100951","3-oxoacyl-[acyl-carrier-protein] reductase FabG-like",260,"GO:0016491"
"evm.model.Contig0.65","XM_022488377.1","LOC111137111","solute carrier family 23 member 1-like",650,"GO:0005575;GO:0022857"
"evm.model.Contig0.66","XM_022436633.1",NA,NA,NA,NA
"evm.model.Contig0.67","XM_022437009.1",NA,NA,NA,NA
"evm.model.Contig0.68","XM_022432394.1",NA,NA,NA,NA
"evm.model.Contig0.69","XM_022437019.1",NA,NA,NA,NA
"evm.model.Contig0.7","XM_022484315.1",NA,NA,NA,NA
"evm.model.Contig0.70","XM_022436004.1","LOC111103017","5'-nucleotidase-like",578,"GO:0009058;GO:0034655;GO:0043167;GO:0044281"
"evm.model.Contig0.71","XM_022432357.1",NA,NA,NA,NA
"evm.model.Contig0.72","XM_022435443.1",NA,NA,NA,NA
"evm.model.Contig0.73","XM_022437481.1",NA,NA,NA,NA
"evm.model.Contig0.74","XM_022438344.1",NA,NA,NA,NA
"evm.model.Contig0.75","XM_022440017.1","LOC111105636","pyridoxal kinase-like",301,"GO:0009058;GO:0016301;GO:0034641;GO:0044281;GO:0051186"
"evm.model.Contig0.76","XM_022437637.1","LOC111103968","3-hydroxybutyrate dehydrogenase type 2-like",246,"GO:0016491"
"evm.model.Contig0.78","XM_022438586.1",NA,NA,NA,NA
"evm.model.Contig0.79","XM_022431668.1",NA,NA,NA,NA
