"TranscriptID","ProteinID","GeneID"
"XM_022430375.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430376.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430377.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430378.1","lymphocyte cytosolic protein 2-like","LOC111099040"
"XM_022430379.1","cyclic nucleotide-gated channel rod photoreceptor subunit alpha-like","LOC111099043"
"XM_022430380.1","cyclic nucleotide-gated channel rod photoreceptor subunit alpha-like","LOC111099043"
"XM_022430381.1","uncharacterized aarF domain-containing protein kinase 5-like","LOC111099045"
"XM_022430382.1","homeobox protein Hox-A9-like","LOC111099044"
"XM_022430383.1","uncharacterized aarF domain-containing protein kinase 5-like","LOC111099045"
"XM_022430384.1","b(0,+)-type amino acid transporter 1-like","LOC111099047"
"XM_022430385.1","b(0,+)-type amino acid transporter 1-like","LOC111099047"
"XM_022430386.1","b(0,+)-type amino acid transporter 1-like","LOC111099047"
"XM_022430387.1","b(0,+)-type amino acid transporter 1-like","LOC111099047"
"XM_022430388.1","b(0,+)-type amino acid transporter 1-like","LOC111099047"
"XM_022430389.1","b(0,+)-type amino acid transporter 1-like","LOC111099047"
"XM_022430390.1","b(0,+)-type amino acid transporter 1-like","LOC111099047"
"XM_022430391.1","apolipoprotein D-like","LOC111099048"
"XM_022430392.1","amyloid protein-binding protein 2-like","LOC111099050"
"XM_022430393.1","cysteine sulfinic acid decarboxylase-like","LOC111099052"
"XM_022430394.1","eukaryotic translation initiation factor 2 subunit 2-like","LOC111099053"
"XM_022430395.1","temptin-like","LOC111099049"
"XM_022430396.1","uncharacterized","LOC111099054"
"XM_022430397.1","atrial natriuretic peptide receptor 2-like","LOC111099055"
"XM_022430398.1","tRNA (uracil-5-)-methyltransferase homolog A-like","LOC111099056"
"XM_022430399.1","tRNA (uracil-5-)-methyltransferase homolog A-like","LOC111099056"
"XM_022430400.1","tRNA (uracil-5-)-methyltransferase homolog A-like","LOC111099056"
"XM_022430401.1","uncharacterized","LOC111099057"
"XM_022430402.1","G-protein coupled receptor 157-like","LOC111099058"
"XM_022430403.1","temptin-like","LOC111099049"
"XM_022430404.1","G-protein coupled receptor 157-like","LOC111099059"
"XM_022430405.1","G-protein coupled receptor 157-like","LOC111099059"
"XM_022430406.1","G-protein coupled receptor 157-like","LOC111099059"
"XM_022430407.1","uncharacterized","LOC111099060"
"XM_022430408.1","uncharacterized","LOC111099060"
"XM_022430409.1","uncharacterized","LOC111099061"
"XM_022430410.1","MAP kinase-activated protein kinase 5-like","LOC111099062"
"XM_022430411.1","peptidyl-prolyl cis-trans isomerase-like 2","LOC111099063"
"XM_022430412.1","demethylmenaquinone methyltransferase-like","LOC111099066"
"XM_022430413.1","demethylmenaquinone methyltransferase-like","LOC111099066"
"XM_022430414.1","poly(U)-specific endoribonuclease-like","LOC111099064"
"XM_022430415.1","pre-rRNA processing protein FTSJ3-like","LOC111099067"
"XM_022430416.1","protein unc-93 homolog A-like","LOC111099068"
"XM_022430417.1","protein unc-93 homolog A-like","LOC111099068"
"XM_022430418.1","low-density lipoprotein receptor-related protein 2-like","LOC111099069"
"XM_022430419.1","solute carrier family 22 member 4-like","LOC111099070"
"XM_022430420.1","solute carrier family 22 member 4-like","LOC111099070"
"XM_022430421.1","solute carrier family 22 member 4-like","LOC111099070"
"XM_022430422.1","solute carrier family 22 member 4-like","LOC111099070"
"XM_022430423.1","solute carrier family 22 member 4-like","LOC111099070"
"XM_022430424.1","uncharacterized","LOC111099046"
"XM_022430425.1","solute carrier family 22 member 6-A-like","LOC111099072"
"XM_022430426.1","BRCA1-associated protein-like","LOC111099073"
"XM_022430427.1","deleted in malignant brain tumors 1 protein-like","LOC111099074"
"XM_022430428.1","kinesin-related protein 12-like","LOC111099071"
"XM_022430429.1","uncharacterized","LOC111099076"
"XM_022430430.1","uncharacterized","LOC111099076"
"XM_022430431.1","uncharacterized","LOC111099077"
"XM_022430432.1","uncharacterized","LOC111099078"
"XM_022430433.1","uncharacterized","LOC111099078"
"XM_022430434.1","uncharacterized","LOC111099078"
"XM_022430435.1","uncharacterized","LOC111099078"
"XM_022430436.1","uncharacterized","LOC111099078"
"XM_022430437.1","PR domain zinc finger protein 14-like","LOC111099080"
"XM_022430438.1","grpE protein homolog 1, mitochondrial-like","LOC111099081"
"XM_022430439.1","grpE protein homolog 1, mitochondrial-like","LOC111099081"
"XM_022430440.1","speckle targeted PIP5K1A-regulated poly(A) polymerase-like","LOC111099079"
"XM_022430441.1","putative nuclease HARBI1","LOC111099082"
"XM_022430442.1","myb-related transcription factor, partner of profilin-like","LOC111099083"
"XM_022430443.1","uncharacterized","LOC111099084"
"XM_022430444.1","uncharacterized","LOC111099084"
"XM_022430445.1","transient receptor potential cation channel subfamily M member 2-like","LOC111099087"
"XM_022430446.1","transient receptor potential cation channel subfamily M member 2-like","LOC111099087"
"XM_022430447.1","transient receptor potential cation channel subfamily M member 2-like","LOC111099087"
"XM_022430448.1","transient receptor potential cation channel subfamily M member 2-like","LOC111099087"
"XM_022430449.1","uncharacterized","LOC111099090"
"XM_022430450.1","dentin sialophosphoprotein-like","LOC111099088"
"XM_022430451.1","uncharacterized","LOC111099091"
"XM_022430452.1","G1/S-specific cyclin-E-like","LOC111099092"
"XM_022430453.1","coiled-coil domain-containing protein 113-like","LOC111099093"
"XM_022430454.1","uncharacterized","LOC111099095"
"XM_022430455.1","uncharacterized","LOC111099095"
"XM_022430456.1","cysteine-rich venom protein latisemin-like","LOC111099096"
"XM_022430457.1","tRNA (uracil-5-)-methyltransferase homolog A-like","LOC111099097"
"XM_022430458.1","dentin sialophosphoprotein-like","LOC111099088"
"XM_022430459.1","tRNA (uracil-5-)-methyltransferase homolog A-like","LOC111099097"
"XM_022430460.1","tRNA (uracil-5-)-methyltransferase homolog A-like","LOC111099097"
"XM_022430461.1","uncharacterized","LOC111099098"
"XM_022430462.1","sex peptide receptor-like","LOC111099099"
"XM_022430463.1","sex peptide receptor-like","LOC111099099"
"XM_022430464.1","sex peptide receptor-like","LOC111099099"
"XM_022430465.1","serine/threonine-protein kinase unc-51-like","LOC111099101"
"XM_022430466.1","serine/threonine-protein kinase unc-51-like","LOC111099101"
"XM_022430467.1","serine/threonine-protein kinase unc-51-like","LOC111099101"
"XM_022430468.1","sodium- and chloride-dependent glycine transporter 1-like","LOC111099103"
"XM_022430469.1","sodium- and chloride-dependent glycine transporter 1-like","LOC111099103"
"XM_022430470.1","protein FAM76B-like","LOC111099102"
"XM_022430471.1","A-kinase anchor protein 1, mitochondrial-like","LOC111099104"
"XM_022430472.1","beta-1,3-glucosyltransferase-like","LOC111099105"
"XM_022430473.1","exonuclease V-like","LOC111099106"
"XM_022430474.1","exonuclease V-like","LOC111099106"
"XM_022430475.1","exonuclease V-like","LOC111099106"
"XM_022430476.1","exonuclease V-like","LOC111099106"
"XM_022430477.1","uncharacterized","LOC111099107"
"XM_022430478.1","protein LIAT1-like","LOC111099108"
"XM_022430479.1","dual specificity protein phosphatase 3-like","LOC111099110"
"XM_022430480.1","refilin-B-like","LOC111099111"
"XM_022430481.1","zinc finger and BTB domain-containing protein 41-like","LOC111099112"
"XM_022430482.1","lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog","LOC111099109"
"XM_022430483.1","GPI transamidase component PIG-T-like","LOC111099115"
"XM_022430484.1","sex peptide receptor-like","LOC111099116"
"XM_022430485.1","uncharacterized","LOC111099117"
"XM_022430486.1","dehydrogenase/reductase SDR family member 9-like","LOC111099118"
"XM_022430487.1","uncharacterized","LOC111099119"
"XM_022430488.1","neuroglobin-1-like","LOC111099120"
"XM_022430489.1","derlin-1-like","LOC111099122"
"XM_022430490.1","derlin-1-like","LOC111099122"
"XM_022430491.1","derlin-1-like","LOC111099122"
"XM_022430492.1","tenascin-like","LOC111099121"
"XM_022430493.1","condensin complex subunit 2-like","LOC111099123"
"XM_022430494.1","uncharacterized","LOC111099124"
"XM_022430495.1","uncharacterized","LOC111099125"
"XM_022430496.1","uncharacterized","LOC111099125"
"XM_022430497.1","uncharacterized","LOC111099125"
"XM_022430498.1","uncharacterized","LOC111099125"
"XM_022430499.1","uncharacterized","LOC111099125"
"XM_022430500.1","uncharacterized","LOC111099126"
"XM_022430501.1","uncharacterized","LOC111099046"
"XM_022430502.1","tenascin-like","LOC111099121"
"XM_022430503.1","protein asteroid homolog 1-like","LOC111099127"
"XM_022430504.1","protein asteroid homolog 1-like","LOC111099127"
"XM_022430505.1","protein asteroid homolog 1-like","LOC111099127"
"XM_022430506.1","uncharacterized","LOC111099128"
"XM_022430507.1","integumentary mucin C.1-like","LOC111099130"
"XM_022430508.1","heat shock 70 kDa protein 12B-like","LOC111099131"
"XM_022430509.1","heat shock 70 kDa protein 12B-like","LOC111099131"
"XM_022430510.1","tenascin-like","LOC111099121"
"XM_022430511.1","heat shock 70 kDa protein 12B-like","LOC111099133"
"XM_022430512.1","heat shock 70 kDa protein 12B-like","LOC111099133"
"XM_022430513.1","heat shock 70 kDa protein 12B-like","LOC111099133"
"XM_022430514.1","heat shock 70 kDa protein 12B-like","LOC111099133"
"XM_022430515.1","heat shock 70 kDa protein 12B-like","LOC111099133"
"XM_022430516.1","uncharacterized","LOC111099135"
"XM_022430517.1","uncharacterized","LOC111099135"
"XM_022430518.1","uncharacterized","LOC111099135"
"XM_022430519.1","uncharacterized","LOC111099135"
"XM_022430520.1","semaphorin-5A-like","LOC111099134"
"XM_022430521.1","uncharacterized","LOC111099137"
"XM_022430522.1","uncharacterized protein C20orf85 homolog","LOC111099138"
"XM_022430523.1","deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like","LOC111099139"
"XM_022430524.1","deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like","LOC111099139"
"XM_022430525.1","probable ATP-dependent RNA helicase DHX37","LOC111099140"
"XM_022430526.1","uncharacterized","LOC111099141"
"XM_022430527.1","uncharacterized","LOC111099145"
"XM_022430528.1","uncharacterized","LOC111099146"
"XM_022430529.1","glyceraldehyde-3-phosphate dehydrogenase-like","LOC111099143"
"XM_022430530.1","uncharacterized","LOC111099146"
"XM_022430531.1","protein draper-like","LOC111099147"
"XM_022430532.1","protein draper-like","LOC111099147"
"XM_022430533.1","uncharacterized","LOC111099148"
"XM_022430534.1","ras-related protein Rab-24-like","LOC111099150"
"XM_022430535.1","ras-related protein Rab-24-like","LOC111099150"
"XM_022430536.1","ras-related protein Rab-24-like","LOC111099150"
"XM_022430537.1","ras-related protein Rab-24-like","LOC111099150"
"XM_022430538.1","ras-related protein Rab-24-like","LOC111099150"
"XM_022430539.1","NADPH oxidoreductase A-like","LOC111099152"
"XM_022430540.1","NADPH oxidoreductase A-like","LOC111099152"
"XM_022430541.1","uncharacterized","LOC111099153"
"XM_022430542.1","dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A-like","LOC111099151"
"XM_022430543.1","neuronal acetylcholine receptor subunit alpha-7-like","LOC111099154"
"XM_022430544.1","caspase-6-like","LOC111099155"
"XM_022430545.1","bleomycin hydrolase-like","LOC111099156"
"XM_022430546.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430547.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430548.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430549.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430550.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430551.1","dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A-like","LOC111099151"
"XM_022430552.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430553.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430554.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430555.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430556.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430557.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430558.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430559.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430560.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430561.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430562.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430563.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430564.1","rap1 GTPase-activating protein 1-like","LOC111099157"
"XM_022430565.1","uncharacterized","LOC111099158"
"XM_022430566.1","glycine-rich cell wall structural protein 1-like","LOC111099161"
"XM_022430567.1","glycine-rich cell wall structural protein 1-like","LOC111099161"
"XM_022430568.1","ER membrane protein complex subunit 4-like","LOC111099162"
"XM_022430569.1","uncharacterized","LOC111099163"
"XM_022430570.1","uncharacterized","LOC111099164"
"XM_022430571.1","chloride transport protein 6-like","LOC111099166"
"XM_022430572.1","fatty acid synthase-like","LOC111099168"
"XM_022430573.1","myosin-IIIa-like","LOC111099165"
"XM_022430574.1","uncharacterized","LOC111099169"
"XM_022430575.1","retinol-binding protein 4-A-like","LOC111099170"
"XM_022430576.1","octopamine receptor beta-2R-like","LOC111099171"
"XM_022430577.1","octopamine receptor beta-2R-like","LOC111099171"
"XM_022430578.1","uncharacterized","LOC111099046"
"XM_022430579.1","octopamine receptor beta-2R-like","LOC111099171"
"XM_022430580.1","octopamine receptor beta-2R-like","LOC111099171"
"XM_022430581.1","octopamine receptor beta-2R-like","LOC111099171"
"XM_022430582.1","zinc metalloproteinase nas-13-like","LOC111099172"
"XM_022430583.1","submaxillary gland androgen-regulated protein 3B-like","LOC111099173"
"XM_022430584.1","acyl-CoA synthetase family member 3, mitochondrial-like","LOC111099175"
"XM_022430585.1","zwei Ig domain protein zig-4-like","LOC111099176"
"XM_022430586.1","zinc phosphodiesterase ELAC protein 1-like","LOC111099174"
"XM_022430587.1","uncharacterized","LOC111099178"
"XM_022430588.1","macrophage mannose receptor 1-like","LOC111099179"
"XM_022430589.1","cytosol aminopeptidase-like","LOC111099180"
"XM_022430590.1","uncharacterized protein ZK673.1-like","LOC111099181"
"XM_022430591.1","uncharacterized protein ZK673.1-like","LOC111099181"
"XM_022430592.1","phosphoenolpyruvate phosphomutase","LOC111099182"
"XM_022430593.1","SPRY domain-containing protein 7-like","LOC111099183"
"XM_022430594.1","zinc phosphodiesterase ELAC protein 1-like","LOC111099174"
"XM_022430595.1","transcription factor HES-4-like","LOC111099184"
"XM_022430596.1","A disintegrin and metalloproteinase with thrombospondin motifs 4-like","LOC111099185"
"XM_022430597.1","iroquois-class homeodomain protein IRX-6-like","LOC111099186"
"XM_022430598.1","glycine-rich protein DOT1-like","LOC111099188"
"XM_022430599.1","uncharacterized","LOC111099190"
"XM_022430600.1","uncharacterized","LOC111099190"
"XM_022430601.1","transport and Golgi organization protein 6 homolog","LOC111099192"
"XM_022430602.1","uncharacterized","LOC111099193"
"XM_022430603.1","uncharacterized","LOC111099191"
"XM_022430604.1","uncharacterized","LOC111099194"
"XM_022430605.1","uncharacterized","LOC111099194"
"XM_022430606.1","uncharacterized","LOC111099194"
"XM_022430607.1","uncharacterized","LOC111099194"
"XM_022430608.1","uncharacterized","LOC111099194"
"XM_022430609.1","uncharacterized","LOC111099194"
"XM_022430610.1","uncharacterized","LOC111099194"
"XM_022430611.1","uncharacterized","LOC111099194"
"XM_022430612.1","uncharacterized","LOC111099194"
"XM_022430613.1","uncharacterized","LOC111099194"
"XM_022430614.1","uncharacterized","LOC111099194"
"XM_022430615.1","uncharacterized","LOC111099194"
"XM_022430616.1","uncharacterized","LOC111099194"
"XM_022430617.1","uncharacterized","LOC111099194"
"XM_022430618.1","fibulin-1-like","LOC111099195"
"XM_022430619.1","uncharacterized","LOC111099194"
"XM_022430620.1","uncharacterized","LOC111099194"
"XM_022430621.1","uncharacterized","LOC111099194"
"XM_022430622.1","bicaudal D-related protein homolog","LOC111099196"
"XM_022430623.1","bicaudal D-related protein homolog","LOC111099196"
"XM_022430624.1","bicaudal D-related protein homolog","LOC111099196"
"XM_022430625.1","bicaudal D-related protein homolog","LOC111099196"
"XM_022430626.1","bicaudal D-related protein homolog","LOC111099196"
"XM_022430627.1","bicaudal D-related protein homolog","LOC111099196"
"XM_022430628.1","uncharacterized","LOC111099199"
"XM_022430629.1","uncharacterized","LOC111099199"
"XM_022430630.1","CDK5 regulatory subunit-associated protein 3-like","LOC111099197"
"XM_022430631.1","WW domain-containing oxidoreductase-like","LOC111099200"
"XM_022430632.1","ATP-dependent DNA helicase Q-like SIM","LOC111099201"
"XM_022430633.1","uncharacterized","LOC111099202"
"XM_022430634.1","coiled-coil domain-containing protein 90B, mitochondrial-like","LOC111099203"
"XM_022430635.1","heat shock 70 kDa protein 12A-like","LOC111099204"
"XM_022430636.1","uncharacterized","LOC111099205"
"XM_022430637.1","uncharacterized protein C10orf107 homolog","LOC111099206"
"XM_022430638.1","uncharacterized protein C10orf107 homolog","LOC111099206"
"XM_022430639.1","uncharacterized protein C10orf107 homolog","LOC111099206"
"XM_022430640.1","uncharacterized protein C10orf107 homolog","LOC111099206"
"XM_022430641.1","coiled-coil domain-containing protein 92-like","LOC111099209"
"XM_022430642.1","organic cation transporter protein-like","LOC111099207"
"XM_022430643.1","uncharacterized","LOC111099210"
"XM_022430644.1","probable ATP-dependent RNA helicase DHX37","LOC111099211"
"XM_022430645.1","mitochondrial intermediate peptidase-like","LOC111099212"
"XM_022430646.1","vesicular inhibitory amino acid transporter-like","LOC111099213"
"XM_022430647.1","protein N-terminal glutamine amidohydrolase-like","LOC111099214"
"XM_022430648.1","isochorismatase domain-containing protein 1-like","LOC111099215"
"XM_022430649.1","F-box only protein 42-like","LOC111099216"
"XM_022430650.1","tetratricopeptide repeat protein 28-like","LOC111099218"
"XM_022430651.1","lysophospholipid acyltransferase 5-like","LOC111099219"
"XM_022430652.1","syntaxin-18-like","LOC111099220"
"XM_022430653.1","multiple epidermal growth factor-like domains protein 6","LOC111099217"
"XM_022430654.1","syntaxin-18-like","LOC111099220"
"XM_022430655.1","fucose mutarotase-like","LOC111099221"
"XM_022430656.1","chitinase domain-containing protein 1-like","LOC111099222"
"XM_022430657.1","chitinase domain-containing protein 1-like","LOC111099222"
"XM_022430658.1","uncharacterized","LOC111099046"
"XM_022430659.1","chitinase domain-containing protein 1-like","LOC111099222"
"XM_022430660.1","chitinase domain-containing protein 1-like","LOC111099222"
"XM_022430661.1","chitinase domain-containing protein 1-like","LOC111099222"
"XM_022430662.1","chitinase domain-containing protein 1-like","LOC111099222"
"XM_022430663.1","multiple epidermal growth factor-like domains protein 6","LOC111099217"
"XM_022430664.1","octopamine receptor-like","LOC111099224"
"XM_022430665.1","uncharacterized","LOC111099225"
"XM_022430666.1","4-hydroxybutyrate coenzyme A transferase-like","LOC111099226"
"XM_022430667.1","uncharacterized","LOC111099227"
"XM_022430668.1","uncharacterized","LOC111099227"
"XM_022430669.1","uncharacterized","LOC111099227"
"XM_022430670.1","uncharacterized","LOC111099228"
"XM_022430671.1","multiple epidermal growth factor-like domains protein 6","LOC111099217"
"XM_022430672.1","uncharacterized","LOC111099229"
"XM_022430673.1","uncharacterized","LOC111099230"
"XM_022430674.1","uncharacterized","LOC111099230"
"XM_022430675.1","multiple epidermal growth factor-like domains protein 6","LOC111099217"
"XM_022430676.1","uncharacterized","LOC111099246"
"XM_022430677.1","multiple epidermal growth factor-like domains protein 10","LOC111099262"
"XM_022430678.1","translation initiation factor eIF-2B subunit delta-like","LOC111099300"
"XM_022430679.1","uncharacterized","LOC111099030"
"XM_022430680.1","translation initiation factor eIF-2B subunit delta-like","LOC111099300"
"XM_022430681.1","adenylate kinase 2, mitochondrial-like","LOC111099327"
"XM_022430682.1","SPRY domain-containing protein 3-like","LOC111099343"
"XM_022430683.1","forkhead box protein M1-like","LOC111099359"
"XM_022430684.1","ankyrin repeat and MYND domain-containing protein 2-like","LOC111099316"
"XM_022430685.1","uncharacterized","LOC111099375"
"XM_022430686.1","uncharacterized","LOC111099375"
"XM_022430687.1","uncharacterized","LOC111099375"
"XM_022430688.1","uncharacterized","LOC111099409"
"XM_022430689.1","uncharacterized","LOC111099409"
"XM_022430690.1","uncharacterized","LOC111099413"
"XM_022430691.1","signal peptide, CUB and EGF-like domain-containing protein 1","LOC111099410"
"XM_022430692.1","ficolin-2-like","LOC111099414"
"XM_022430693.1","uncharacterized","LOC111099415"
"XM_022430694.1","uncharacterized","LOC111099415"
"XM_022430695.1","uncharacterized","LOC111099417"
"XM_022430696.1","uncharacterized","LOC111099418"
"XM_022430697.1","potassium channel subfamily K member 2-like","LOC111099419"
"XM_022430698.1","uncharacterized","LOC111099421"
"XM_022430699.1","uncharacterized","LOC111099423"
"XM_022430700.1","UPF0676 protein C1494.01-like","LOC111099420"
"XM_022430701.1","Golgi-associated PDZ and coiled-coil motif-containing protein-like","LOC111099424"
"XM_022430702.1","uncharacterized","LOC111099425"
"XM_022430703.1","uncharacterized","LOC111099425"
"XM_022430704.1","uncharacterized","LOC111099425"
"XM_022430705.1","AT-rich interactive domain-containing protein 5B-like","LOC111099426"
"XM_022430706.1","AT-rich interactive domain-containing protein 5B-like","LOC111099426"
"XM_022430707.1","AT-rich interactive domain-containing protein 5B-like","LOC111099426"
"XM_022430708.1","ectonucleoside triphosphate diphosphohydrolase 8-like","LOC111099427"
"XM_022430709.1","ectonucleoside triphosphate diphosphohydrolase 8-like","LOC111099427"
"XM_022430710.1","UPF0676 protein C1494.01-like","LOC111099420"
"XM_022430711.1","uncharacterized","LOC111099428"
"XM_022430712.1","uncharacterized","LOC111099429"
"XM_022430713.1","multiple epidermal growth factor-like domains protein 10","LOC111099430"
"XM_022430714.1","multiple epidermal growth factor-like domains protein 10","LOC111099430"
"XM_022430715.1","uncharacterized","LOC111099432"
"XM_022430716.1","UPF0676 protein C1494.01-like","LOC111099420"
"XM_022430717.1","nuclear apoptosis-inducing factor 1-like","LOC111099434"
"XM_022430718.1","uncharacterized","LOC111099436"
"XM_022430719.1","zinc finger protein 99-like","LOC111099437"
"XM_022430720.1","uncharacterized","LOC111099438"
"XM_022430721.1","uncharacterized","LOC111099438"
"XM_022430722.1","uncharacterized","LOC111099438"
"XM_022430723.1","EP300-interacting inhibitor of differentiation 3-like","LOC111099442"
"XM_022430724.1","EP300-interacting inhibitor of differentiation 3-like","LOC111099443"
"XM_022430725.1","UPF0676 protein C1494.01-like","LOC111099439"
"XM_022430726.1","EP300-interacting inhibitor of differentiation 3-like","LOC111099443"
"XM_022430727.1","putative serine protease K12H4.7","LOC111099446"
"XM_022430728.1","uncharacterized","LOC111099447"
"XM_022430729.1","IgGFc-binding protein-like","LOC111099449"
"XM_022430730.1","homeobox protein Hox-A3-like","LOC111099450"
"XM_022430731.1","homeobox protein Hox-A3-like","LOC111099450"
"XM_022430732.1","homeobox protein Hox-A3-like","LOC111099450"
"XM_022430733.1","protein IMPACT-like","LOC111099453"
"XM_022430734.1","GDP-L-fucose synthase-like","LOC111099454"
"XM_022430735.1","uncharacterized","LOC111099451"
"XM_022430736.1","shematrin-like protein 2","LOC111099455"
"XM_022430737.1","uncharacterized","LOC111099456"
"XM_022430738.1","serine/arginine repetitive matrix protein 2-like","LOC111099458"
"XM_022430739.1","serine/arginine repetitive matrix protein 2-like","LOC111099458"
"XM_022430740.1","serine/arginine repetitive matrix protein 2-like","LOC111099458"
"XM_022430741.1","serine/arginine repetitive matrix protein 2-like","LOC111099458"
"XM_022430742.1","cell wall protein RTB1-like","LOC111099460"
"XM_022430743.1","protein TSSC4-like","LOC111099459"
"XM_022430744.1","cell wall protein RTB1-like","LOC111099460"
"XM_022430745.1","major facilitator superfamily domain-containing protein 7-a-like","LOC111099461"
"XM_022430746.1","A-agglutinin anchorage subunit-like","LOC111099462"
"XM_022430747.1","uncharacterized","LOC111099463"
"XM_022430748.1","uncharacterized","LOC111099463"
"XM_022430749.1","uncharacterized","LOC111099463"
"XM_022430750.1","uncharacterized","LOC111099463"
"XM_022430751.1","serine/threonine-protein kinase MARK1-like","LOC111099464"
"XM_022430752.1","protein TSSC4-like","LOC111099459"
"XM_022430753.1","serine/threonine-protein kinase MARK1-like","LOC111099464"
"XM_022430754.1","uncharacterized","LOC111099465"
"XM_022430755.1","uncharacterized","LOC111099466"
"XM_022430756.1","cytochrome P450 2C14-like","LOC111099468"
"XM_022430757.1","low density lipoprotein receptor adapter protein 1-like","LOC111099469"
"XM_022430758.1","zinc finger protein 99-like","LOC111099470"
"XM_022430759.1","uncharacterized","LOC111099473"
"XM_022430760.1","uncharacterized","LOC111099474"
"XM_022430761.1","uncharacterized","LOC111099448"
"XM_022430762.1","UBX domain-containing protein 4-like","LOC111099471"
"XM_022430763.1","uncharacterized","LOC111099475"
"XM_022430764.1","uncharacterized","LOC111099476"
"XM_022430765.1","uncharacterized","LOC111099476"
"XM_022430766.1","uncharacterized","LOC111099477"
"XM_022430767.1","ligand-dependent nuclear receptor corepressor-like protein","LOC111099478"
"XM_022430768.1","MORN repeat-containing protein 4-like","LOC111099479"
"XM_022430769.1","MORN repeat-containing protein 4-like","LOC111099479"
"XM_022430770.1","cystatin-A-like","LOC111099480"
"XM_022430771.1","uncharacterized","LOC111099482"
