"GeneID","TranscriptID","ProteinID","meanLength","Annotation_GO_ID"
"LOC111099070","XM_022430421.1","solute carrier family 22 member 4-like",528,"GO:0005575;GO:0022857"
"LOC111099072","XM_022430425.1","solute carrier family 22 member 6-A-like",520,"GO:0005575;GO:0022857"
"LOC111099073","XM_022430426.1","BRCA1-associated protein-like",620,"GO:0043167"
"LOC111099077","XM_022430431.1","uncharacterized",382,"GO:0003674"
"LOC111099078","XM_022430433.1","uncharacterized",675.2,"GO:0006464;GO:0016301;GO:0043167"
"LOC111099078","XM_022430435.1","uncharacterized",675.2,"GO:0006464;GO:0016301;GO:0043167"
"LOC111099078","XM_022430434.1","uncharacterized",675.2,"GO:0006464;GO:0016301;GO:0043167"
"LOC111099078","XM_022430432.1","uncharacterized",675.2,"GO:0006464;GO:0016301;GO:0043167"
"LOC111099078","XM_022430436.1","uncharacterized",675.2,"GO:0006464;GO:0016301;GO:0043167"
"LOC111099079","XM_022430440.1","speckle targeted PIP5K1A-regulated poly(A) polymerase-like",935,"GO:0003729;GO:0005634;GO:0006397;GO:0016779"
"LOC111099080","XM_022430437.1","PR domain zinc finger protein 14-like",472,"GO:0003674"
"LOC111099081","XM_022430439.1","grpE protein homolog 1, mitochondrial-like",241.5,"GO:0006457;GO:0030234"
"LOC111099081","XM_022430438.1","grpE protein homolog 1, mitochondrial-like",241.5,"GO:0006457;GO:0030234"
"LOC111099083","XM_022430442.1","myb-related transcription factor, partner of profilin-like",241,"GO:0003677;GO:0005634;GO:0008219"
"LOC111099087","XM_022430448.1","transient receptor potential cation channel subfamily M member 2-like",967.5,"GO:0005575;GO:0022857"
"LOC111099087","XM_022430446.1","transient receptor potential cation channel subfamily M member 2-like",967.5,"GO:0005575;GO:0022857"
"LOC111099087","XM_022430447.1","transient receptor potential cation channel subfamily M member 2-like",967.5,"GO:0005575;GO:0022857"
"LOC111099087","XM_022430445.1","transient receptor potential cation channel subfamily M member 2-like",967.5,"GO:0005575;GO:0022857"
"LOC111099092","XM_022430452.1","G1/S-specific cyclin-E-like",443,"GO:0005634"
"LOC111099097","XM_022430460.1","tRNA (uracil-5-)-methyltransferase homolog A-like",616,"GO:0008168;GO:0034641"
"LOC111099097","XM_022430459.1","tRNA (uracil-5-)-methyltransferase homolog A-like",616,"GO:0008168;GO:0034641"
"LOC111099097","XM_022430457.1","tRNA (uracil-5-)-methyltransferase homolog A-like",616,"GO:0008168;GO:0034641"
"LOC111099098","XM_022430461.1","uncharacterized",132,"GO:0003674;GO:0005576;GO:0007165"
"LOC111099099","XM_022430463.1","sex peptide receptor-like",378.333333333333,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099099","XM_022430464.1","sex peptide receptor-like",378.333333333333,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099099","XM_022430462.1","sex peptide receptor-like",378.333333333333,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099101","XM_022430467.1","serine/threonine-protein kinase unc-51-like",933.666666666667,"GO:0006464;GO:0006520;GO:0016301;GO:0043167"
"LOC111099101","XM_022430465.1","serine/threonine-protein kinase unc-51-like",933.666666666667,"GO:0006464;GO:0006520;GO:0016301;GO:0043167"
"LOC111099101","XM_022430466.1","serine/threonine-protein kinase unc-51-like",933.666666666667,"GO:0006464;GO:0006520;GO:0016301;GO:0043167"
"LOC111099103","XM_022430469.1","sodium- and chloride-dependent glycine transporter 1-like",767,"GO:0005575;GO:0022857"
"LOC111099103","XM_022430468.1","sodium- and chloride-dependent glycine transporter 1-like",767,"GO:0005575;GO:0022857"
"LOC111099104","XM_022430471.1","A-kinase anchor protein 1, mitochondrial-like",725,"GO:0003723;GO:0005739;GO:0007165"
"LOC111099105","XM_022430472.1","beta-1,3-glucosyltransferase-like",496,"GO:0005575;GO:0016757"
"LOC111099106","XM_022430473.1","exonuclease V-like",426.25,"GO:0004518;GO:0006259;GO:0034655"
"LOC111099106","XM_022430474.1","exonuclease V-like",426.25,"GO:0004518;GO:0006259;GO:0034655"
"LOC111099106","XM_022430475.1","exonuclease V-like",426.25,"GO:0004518;GO:0006259;GO:0034655"
"LOC111099106","XM_022430476.1","exonuclease V-like",426.25,"GO:0004518;GO:0006259;GO:0034655"
"LOC111099108","XM_022430478.1","protein LIAT1-like",227,"GO:0006464;GO:0009056"
"LOC111099110","XM_022430479.1","dual specificity protein phosphatase 3-like",192,"GO:0006464;GO:0006520;GO:0016791"
"LOC111099111","XM_022430480.1","refilin-B-like",179,"GO:0007010;GO:0008092;GO:0030154;GO:0048856"
"LOC111099112","XM_022430481.1","zinc finger and BTB domain-containing protein 41-like",961,"GO:0003674"
"LOC111099115","XM_022430483.1","GPI transamidase component PIG-T-like",613,"GO:0005737;GO:0005783;GO:0006464;GO:0006629;GO:0009058;GO:0032991"
"LOC111099116","XM_022430484.1","sex peptide receptor-like",373,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099119","XM_022430487.1","uncharacterized",297,"GO:0003674"
"LOC111099120","XM_022430488.1","neuroglobin-1-like",180,"GO:0003674"
"LOC111099123","XM_022430493.1","condensin complex subunit 2-like",745,"GO:0005694;GO:0007059;GO:0032991;GO:0051276;GO:0140014"
"LOC111099127","XM_022430503.1","protein asteroid homolog 1-like",638,"GO:0004518;GO:0006259;GO:0006950"
"LOC111099127","XM_022430504.1","protein asteroid homolog 1-like",638,"GO:0004518;GO:0006259;GO:0006950"
"LOC111099127","XM_022430505.1","protein asteroid homolog 1-like",638,"GO:0004518;GO:0006259;GO:0006950"
"LOC111099139","XM_022430524.1","deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like",541.5,"GO:0003674"
"LOC111099139","XM_022430523.1","deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like",541.5,"GO:0003674"
"LOC111099140","XM_022430525.1","probable ATP-dependent RNA helicase DHX37",1162,"GO:0004386;GO:0043167"
"LOC111099141","XM_022430526.1","uncharacterized",351,"GO:0003674;GO:0006259"
"LOC111099143","XM_022430529.1","glyceraldehyde-3-phosphate dehydrogenase-like",335,"GO:0005975;GO:0016491;GO:0044281"
"LOC111099146","XM_022430530.1","uncharacterized",171,"GO:0003674"
"LOC111099146","XM_022430528.1","uncharacterized",171,"GO:0003674"
"LOC111099148","XM_022430533.1","uncharacterized",377,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099150","XM_022430534.1","ras-related protein Rab-24-like",213.8,"GO:0003924;GO:0043167"
"LOC111099150","XM_022430537.1","ras-related protein Rab-24-like",213.8,"GO:0003924;GO:0043167"
"LOC111099150","XM_022430536.1","ras-related protein Rab-24-like",213.8,"GO:0003924;GO:0043167"
"LOC111099150","XM_022430538.1","ras-related protein Rab-24-like",213.8,"GO:0003924;GO:0043167"
"LOC111099150","XM_022430535.1","ras-related protein Rab-24-like",213.8,"GO:0003924;GO:0043167"
"LOC111099151","XM_022430542.1","dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A-like",897.5,"GO:0003674;GO:0007165;GO:0034641;GO:0044281"
"LOC111099151","XM_022430551.1","dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A-like",897.5,"GO:0003674;GO:0007165;GO:0034641;GO:0044281"
"LOC111099152","XM_022430539.1","NADPH oxidoreductase A-like",595,"GO:0016491;GO:0043167"
"LOC111099152","XM_022430540.1","NADPH oxidoreductase A-like",595,"GO:0016491;GO:0043167"
"LOC111099154","XM_022430543.1","neuronal acetylcholine receptor subunit alpha-7-like",441,"GO:0005575;GO:0007165;GO:0022857"
"LOC111099155","XM_022430544.1","caspase-6-like",454,"GO:0008219;GO:0008233"
"LOC111099156","XM_022430545.1","bleomycin hydrolase-like",458,"GO:0008233"
"LOC111099157","XM_022430546.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430563.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430557.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430547.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430558.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430548.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430555.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430559.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430561.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430552.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430560.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430550.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430549.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430554.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430564.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430553.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430562.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099157","XM_022430556.1","rap1 GTPase-activating protein 1-like",849.444444444444,"GO:0007165;GO:0030234"
"LOC111099165","XM_022430573.1","myosin-IIIa-like",1236,"GO:0005856;GO:0009058;GO:0032991;GO:0034641;GO:0043167"
"LOC111099166","XM_022430571.1","chloride transport protein 6-like",806,"GO:0005575;GO:0022857"
"LOC111099168","XM_022430572.1","fatty acid synthase-like",1838,"GO:0003674;GO:0009058"
"LOC111099169","XM_022430574.1","uncharacterized",923,"GO:0003677"
"LOC111099170","XM_022430575.1","retinol-binding protein 4-A-like",214,"GO:0008289;GO:0022857"
"LOC111099171","XM_022430581.1","octopamine receptor beta-2R-like",390,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099171","XM_022430580.1","octopamine receptor beta-2R-like",390,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099171","XM_022430576.1","octopamine receptor beta-2R-like",390,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099171","XM_022430579.1","octopamine receptor beta-2R-like",390,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099171","XM_022430577.1","octopamine receptor beta-2R-like",390,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099172","XM_022430582.1","zinc metalloproteinase nas-13-like",623,"GO:0008233;GO:0043167"
"LOC111099174","XM_022430594.1","zinc phosphodiesterase ELAC protein 1-like",429,"GO:0004518;GO:0006399"
"LOC111099174","XM_022430586.1","zinc phosphodiesterase ELAC protein 1-like",429,"GO:0004518;GO:0006399"
"LOC111099175","XM_022430584.1","acyl-CoA synthetase family member 3, mitochondrial-like",600,"GO:0003674"
"LOC111099180","XM_022430589.1","cytosol aminopeptidase-like",529,"GO:0005737;GO:0008233;GO:0043167"
"LOC111099182","XM_022430592.1","phosphoenolpyruvate phosphomutase",326,"GO:0016853"
"LOC111099183","XM_022430593.1","SPRY domain-containing protein 7-like",196,"GO:0003674"
"LOC111099184","XM_022430595.1","transcription factor HES-4-like",365,"GO:0003677;GO:0009058;GO:0034641"
"LOC111099185","XM_022430596.1","A disintegrin and metalloproteinase with thrombospondin motifs 4-like",892,"GO:0008233"
"LOC111099186","XM_022430597.1","iroquois-class homeodomain protein IRX-6-like",500,"GO:0003677;GO:0009058;GO:0034641"
"LOC111099192","XM_022430601.1","transport and Golgi organization protein 6 homolog",1169,"GO:0003674"
"LOC111099193","XM_022430602.1","uncharacterized",385,"GO:0005975;GO:0016810"
"LOC111099195","XM_022430618.1","fibulin-1-like",444,"GO:0005198;GO:0031012;GO:0043167"
"LOC111099199","XM_022430629.1","uncharacterized",1126.5,"GO:0006464;GO:0016301;GO:0043167"
"LOC111099199","XM_022430628.1","uncharacterized",1126.5,"GO:0006464;GO:0016301;GO:0043167"
"LOC111099200","XM_022430631.1","WW domain-containing oxidoreductase-like",406,"GO:0003674"
"LOC111099201","XM_022430632.1","ATP-dependent DNA helicase Q-like SIM",538,"GO:0043167"
"LOC111099207","XM_022430642.1","organic cation transporter protein-like",554,"GO:0005575;GO:0022857"
"LOC111099210","XM_022430643.1","uncharacterized",648,"GO:0003674"
"LOC111099211","XM_022430644.1","probable ATP-dependent RNA helicase DHX37",1162,"GO:0004386;GO:0043167"
"LOC111099212","XM_022430645.1","mitochondrial intermediate peptidase-like",692,"GO:0005739;GO:0006605;GO:0007005;GO:0008233;GO:0051604"
"LOC111099214","XM_022430647.1","protein N-terminal glutamine amidohydrolase-like",206,"GO:0006520;GO:0016810;GO:0034641"
"LOC111099215","XM_022430648.1","isochorismatase domain-containing protein 1-like",195,"GO:0003674"
"LOC111099216","XM_022430649.1","F-box only protein 42-like",595,"GO:0003674"
"LOC111099217","XM_022430653.1","multiple epidermal growth factor-like domains protein 6",2155.25,"GO:0005575;GO:0008150"
"LOC111099217","XM_022430671.1","multiple epidermal growth factor-like domains protein 6",2155.25,"GO:0005575;GO:0008150"
"LOC111099217","XM_022430663.1","multiple epidermal growth factor-like domains protein 6",2155.25,"GO:0005575;GO:0008150"
"LOC111099217","XM_022430675.1","multiple epidermal growth factor-like domains protein 6",2155.25,"GO:0005575;GO:0008150"
"LOC111099218","XM_022430650.1","tetratricopeptide repeat protein 28-like",2775,"GO:0003674"
"LOC111099221","XM_022430655.1","fucose mutarotase-like",149,"GO:0005975;GO:0016853;GO:0044281"
"LOC111099222","XM_022430661.1","chitinase domain-containing protein 1-like",386.5,"GO:0003674;GO:0005975"
"LOC111099222","XM_022430662.1","chitinase domain-containing protein 1-like",386.5,"GO:0003674;GO:0005975"
"LOC111099222","XM_022430656.1","chitinase domain-containing protein 1-like",386.5,"GO:0003674;GO:0005975"
"LOC111099222","XM_022430660.1","chitinase domain-containing protein 1-like",386.5,"GO:0003674;GO:0005975"
"LOC111099222","XM_022430657.1","chitinase domain-containing protein 1-like",386.5,"GO:0003674;GO:0005975"
"LOC111099222","XM_022430659.1","chitinase domain-containing protein 1-like",386.5,"GO:0003674;GO:0005975"
"LOC111099224","XM_022430664.1","octopamine receptor-like",389,"GO:0003674;GO:0005575;GO:0007165"
"LOC111099225","XM_022430665.1","uncharacterized",504,"GO:0043167"
"LOC111099226","XM_022430666.1","4-hydroxybutyrate coenzyme A transferase-like",480,"GO:0003674;GO:0006790;GO:0034641;GO:0044281;GO:0051186"
"LOC111099228","XM_022430670.1","uncharacterized",1062,"GO:0006464;GO:0016301;GO:0043167"
"LOC111099229","XM_022430672.1","uncharacterized",321,"GO:0005575"
"LOC111099230","XM_022430674.1","uncharacterized",482,"GO:0016757"
"LOC111099230","XM_022430673.1","uncharacterized",482,"GO:0016757"
"LOC111099262","XM_022430677.1","multiple epidermal growth factor-like domains protein 10",556,"GO:0005575;GO:0008150"
"LOC111099300","XM_022430678.1","translation initiation factor eIF-2B subunit delta-like",502,"GO:0008150"
"LOC111099300","XM_022430680.1","translation initiation factor eIF-2B subunit delta-like",502,"GO:0008150"
"LOC111099316","XM_022430684.1","ankyrin repeat and MYND domain-containing protein 2-like",329,"GO:0003674"
"LOC111099327","XM_022430681.1","adenylate kinase 2, mitochondrial-like",233,"GO:0009058;GO:0016301;GO:0034641;GO:0043167;GO:0044281"
"LOC111099343","XM_022430682.1","SPRY domain-containing protein 3-like",442,"GO:0003674"
"LOC111099359","XM_022430683.1","forkhead box protein M1-like",977,"GO:0003677;GO:0003700;GO:0005622;GO:0009058;GO:0032991;GO:0034641"
"LOC111099375","XM_022430685.1","uncharacterized",303,"GO:0005634;GO:0006950;GO:0007049"
"LOC111099375","XM_022430686.1","uncharacterized",303,"GO:0005634;GO:0006950;GO:0007049"
"LOC111099375","XM_022430687.1","uncharacterized",303,"GO:0005634;GO:0006950;GO:0007049"
"LOC111099410","XM_022430691.1","signal peptide, CUB and EGF-like domain-containing protein 1",1180,"GO:0043167"
"LOC111099413","XM_022430690.1","uncharacterized",101,"GO:0005634;GO:0008219"
"LOC111099418","XM_022430696.1","uncharacterized",1559,"GO:0003674"
"LOC111099419","XM_022430697.1","potassium channel subfamily K member 2-like",603,"GO:0005575;GO:0022857"
"LOC111099420","XM_022430700.1","UPF0676 protein C1494.01-like",312,"GO:0016491"
"LOC111099420","XM_022430716.1","UPF0676 protein C1494.01-like",312,"GO:0016491"
"LOC111099420","XM_022430710.1","UPF0676 protein C1494.01-like",312,"GO:0016491"
"LOC111099423","XM_022430699.1","uncharacterized",109,"GO:0030234"
"LOC111099424","XM_022430701.1","Golgi-associated PDZ and coiled-coil motif-containing protein-like",461,"GO:0003674;GO:0005794;GO:0016192"
"LOC111099426","XM_022430706.1","AT-rich interactive domain-containing protein 5B-like",914,"GO:0003677;GO:0005634;GO:0009058;GO:0034641"
"LOC111099426","XM_022430705.1","AT-rich interactive domain-containing protein 5B-like",914,"GO:0003677;GO:0005634;GO:0009058;GO:0034641"
"LOC111099426","XM_022430707.1","AT-rich interactive domain-containing protein 5B-like",914,"GO:0003677;GO:0005634;GO:0009058;GO:0034641"
"LOC111099427","XM_022430708.1","ectonucleoside triphosphate diphosphohydrolase 8-like",612,"GO:0003674"
"LOC111099427","XM_022430709.1","ectonucleoside triphosphate diphosphohydrolase 8-like",612,"GO:0003674"
"LOC111099428","XM_022430711.1","uncharacterized",481,"GO:0003674"
"LOC111099434","XM_022430717.1","nuclear apoptosis-inducing factor 1-like",187,"GO:0005634;GO:0008219"
"LOC111099437","XM_022430719.1","zinc finger protein 99-like",789,"GO:0003674"
"LOC111099439","XM_022430725.1","UPF0676 protein C1494.01-like",312,"GO:0016491"
"LOC111099442","XM_022430723.1","EP300-interacting inhibitor of differentiation 3-like",351,"GO:0005634;GO:0005694;GO:0006259;GO:0006950;GO:0032991"
"LOC111099443","XM_022430724.1","EP300-interacting inhibitor of differentiation 3-like",293.5,"GO:0005634;GO:0005694;GO:0006259;GO:0006950;GO:0032991"
"LOC111099443","XM_022430726.1","EP300-interacting inhibitor of differentiation 3-like",293.5,"GO:0005634;GO:0005694;GO:0006259;GO:0006950;GO:0032991"
"LOC111099446","XM_022430727.1","putative serine protease K12H4.7",501,"GO:0008233"
"LOC111099454","XM_022430734.1","GDP-L-fucose synthase-like",318,"GO:0009058;GO:0016491;GO:0034641;GO:0044281"
"LOC111099456","XM_022430737.1","uncharacterized",333,"GO:0003674"
"LOC111099458","XM_022430740.1","serine/arginine repetitive matrix protein 2-like",1763.25,"GO:0003674"
"LOC111099458","XM_022430738.1","serine/arginine repetitive matrix protein 2-like",1763.25,"GO:0003674"
"LOC111099458","XM_022430741.1","serine/arginine repetitive matrix protein 2-like",1763.25,"GO:0003674"
"LOC111099458","XM_022430739.1","serine/arginine repetitive matrix protein 2-like",1763.25,"GO:0003674"
"LOC111099461","XM_022430745.1","major facilitator superfamily domain-containing protein 7-a-like",506,"GO:0005575;GO:0055085"
"LOC111099464","XM_022430753.1","serine/threonine-protein kinase MARK1-like",779,"GO:0006464;GO:0016301;GO:0043167"
"LOC111099464","XM_022430751.1","serine/threonine-protein kinase MARK1-like",779,"GO:0006464;GO:0016301;GO:0043167"
"LOC111099465","XM_022430754.1","uncharacterized",253,"GO:0003674;GO:0005576;GO:0008150"
"LOC111099468","XM_022430756.1","cytochrome P450 2C14-like",484,"GO:0016491;GO:0043167"
"LOC111099469","XM_022430757.1","low density lipoprotein receptor adapter protein 1-like",265,"GO:0003674"
"LOC111099470","XM_022430758.1","zinc finger protein 99-like",789,"GO:0003674"
"LOC111099471","XM_022430762.1","UBX domain-containing protein 4-like",465,"GO:0003674"
"LOC111099473","XM_022430759.1","uncharacterized",166,"GO:0003674;GO:0005576;GO:0007165"
"LOC111099477","XM_022430766.1","uncharacterized",3432,"GO:0005576;GO:0030234"
"LOC111099478","XM_022430767.1","ligand-dependent nuclear receptor corepressor-like protein",654,"GO:0003677"
"LOC111099480","XM_022430770.1","cystatin-A-like",123,"GO:0005622;GO:0030234"
